,date,number,time,latitude,longitude,depth,magnitude,type,place
12,1939-12-26,1116,23:57:21,39.8,39.51,20.0,7.9,MS,Erzincan
2,1999-08-17,8546,00:01:39,40.77,30.004,15.0,7.6,Mw,Kocaeli
9,1944-02-01,1224,03:22:36,40.9,32.6,10.0,7.3,MS,Karabuk
4,1970-03-28,2910,21:02:24,39.21,29.51,18.0,7.2,MS,Kutahya
8,1953-03-18,1452,19:06:16,39.99,27.36,10.0,7.2,MS,Canakkale
10,1943-11-26,1216,22:20:41,41.05,33.72,10.0,7.2,MS,Cankiri
0,2011-10-23,12093,10:41:00,38.689,43.4657,19.02,7.1,Mw,Van
1,1999-11-12,8716,16:57:21,40.806,31.226,11.0,7.1,Mw,Duzce
6,1957-05-26,1640,06:33:35,40.67,31.0,10.0,7.1,MS,Duzce
7,1957-04-25,1636,02:25:45,36.42,28.68,80.0,7.1,MS,Mugla
3,1976-11-24,4037,12:22:16,39.08,44.028999999999996,8.6,7.0,Mw,Van
5,1964-10-06,1969,14:31:23,40.3,28.23,34.0,7.0,MS,Bursa
11,1942-12-20,1203,14:03:08,40.87,36.47,10.0,7.0,MS,Tokat
