,date,number,time,latitude,longitude,depth,magnitude,type,place
54,2011-05-19,11973,20:15:22,39.1328,29.081999999999997,24.46,5.9,Mw,Kutahya
491,1925-08-07,699,06:46:37,38.1,29.8,20.0,5.9,MS,Denizli
431,1939-11-21,1115,08:49:03,39.82,39.71,80.0,5.9,MS,Erzincan
346,1957-04-26,1638,06:33:40,36.22,28.87,50.0,5.9,MS,Balikesir
417,1941-11-12,1179,10:04:59,39.74,39.43,70.0,5.9,MS,Erzincan
343,1957-05-26,1644,09:36:39,40.76,30.81,10.0,5.9,MS,Sakarya
245,1971-05-12,3289,06:25:15,37.56,29.747,26.8,5.9,MS,Burdur
409,1942-12-11,1202,02:39:18,40.76,34.83,40.0,5.9,MS,Corum
387,1946-05-31,1267,03:12:50,39.29,41.21,60.0,5.9,MS,Mus
468,1930-09-11,895,12:36:51,37.39,31.18,80.0,5.9,MS,Isparta
456,1934-11-12,1009,07:19:19,38.54,41.0,50.0,5.9,MS,Diyarbakir
495,1924-11-20,667,20:27:45,38.55,30.78,10.0,5.9,MS,Balikesir
234,1975-03-17,3812,05:35:16,40.475,26.118000000000002,2.0,5.9,MS,Edirne
334,1959-04-25,1725,00:26:45,36.94,28.58,30.0,5.9,MS,Mugla
206,1979-05-28,4409,09:27:33,36.46,31.72,111.0,5.9,Mw,Balikesir
327,1960-01-26,1757,09:52:15,40.19,38.75,20.0,5.9,MS,Giresun
155,1992-03-15,7000,16:16:23,39.519,39.961999999999996,7.0,5.9,Mw,Tunceli
109,2002-02-03,9373,09:26:45,38.667,30.919,11.0,5.8,Mw,Balikesir
124,1999-09-13,8675,11:55:30,40.7327,30.0169,17.8,5.8,Mw,Kocaeli
205,1979-06-14,4415,11:44:46,38.794000000000004,26.607,14.8,5.8,Mw,Izmir
48,2011-10-23,12096,10:56:48,38.7825,43.3633,19.92,5.8,Ml,Van
79,2005-10-20,10333,21:40:00,38.15,26.67,15.0,5.8,Mw,Izmir
179,1986-06-06,5874,10:39:50,38.005,37.912,21.9,5.8,Mw,Malatya
212,1977-10-05,4177,05:34:46,40.992,33.568000000000005,16.1,5.8,Mw,Cankiri
371,1951-04-08,1394,21:38:13,36.58,35.85,50.0,5.8,MS,Balikesir
81,2005-10-17,10314,09:46:57,38.172,26.728,7.3,5.8,Mw,Izmir
424,1940-12-20,1156,05:18:00,38.3,38.3,10.0,5.8,MS,Malatya
3,2019-09-26,0,10:59:25,40.8818,28.214000000000002,7.97,5.8,Mw,Istanbul
368,1952-01-03,1409,06:03:55,39.95,41.67,40.0,5.8,MS,Erzurum
88,2005-01-25,10103,16:44:13,37.66,43.707,15.3,5.8,Mw,Hakkari
342,1957-05-27,1648,11:01:35,40.73,30.95,50.0,5.8,MS,Duzce
86,2005-03-14,10146,01:55:58,39.3872,40.988,10.0,5.8,Mw,Bingol
240,1971-07-11,3372,20:12:56,37.16,36.832,7.1,5.8,MS,Gaziantep
487,1926-01-13,709,01:47:04,38.64,28.11,50.0,5.8,MS,Manisa
143,1995-12-05,7616,18:49:32,39.475,40.146,13.9,5.8,Mw,Tunceli
383,1948-04-30,1315,14:50:52,36.05,31.14,80.0,5.8,MS,Balikesir
117,1999-12-03,8778,17:06:55,40.5477,42.3559,10.0,5.7,Mw,Erzurum
198,1979-12-31,4481,06:21:36,36.22,31.49,93.0,5.7,Mw,Balikesir
459,1933-07-19,991,20:07:10,38.19,29.79,40.0,5.7,MS,Denizli
104,2003-07-06,9741,19:10:29,40.445,26.074,15.0,5.7,Mw,Edirne
72,2007-02-21,10706,11:05:27,38.36,39.3,6.0,5.7,Mw,Elazig
67,2007-12-20,10947,09:48:30,39.411,33.156,13.2,5.7,Mw,Ankara
137,1997-01-22,7972,17:57:22,36.207,35.957,20.9,5.7,Mw,Hatay
39,2011-11-09,12242,19:23:34,38.4382,43.2825,21.47,5.7,Mw,Van
429,1939-12-28,1121,03:25:28,40.47,37.0,40.0,5.7,MS,Tokat
141,1996-08-14,7781,01:55:06,40.698,35.29,25.7,5.7,Mw,Corum
486,1926-01-13,710,08:08:44,38.53,28.19,10.0,5.7,MS,Manisa
474,1928-10-04,830,11:14:08,40.22,33.67,10.0,5.7,MS,Kirikkale
482,1926-12-16,740,17:54:05,40.13,30.72,10.0,5.7,MS,Balikesir
