,date,number,time,latitude,longitude,depth,magnitude,type,place
36,1951-08-13,1399,18:33:34,40.88,32.87,10.0,6.9,MS,Cankiri
28,1966-08-19,2215,12:22:11,39.17,41.56,26.0,6.9,MS,Mus
0,2020-01-24,0,17:55:11,38.3593,39.063,8.06,6.8,Mw,Elazig
20,1971-05-22,3331,16:43:59,38.85,40.52,3.0,6.8,MS,Bingol
40,1944-10-06,1242,02:34:49,39.48,26.56,40.0,6.8,MS,Canakkale
34,1955-07-16,1561,07:07:17,37.65,27.26,40.0,6.8,MS,Aydin
32,1957-04-24,1635,19:10:17,36.43,28.63,80.0,6.8,MS,Erzurum
26,1967-07-22,2336,16:56:58,40.67,30.69,33.0,6.8,MS,Sakarya
58,1924-09-13,658,14:34:14,39.96,41.94,10.0,6.8,MS,Erzurum
37,1949-08-17,1354,18:44:20,39.57,40.62,40.0,6.7,MS,Erzincan
50,1938-04-19,1077,10:59:20,39.44,33.79,10.0,6.6,MS,Kirsehir
17,1983-10-30,5330,04:12:29,40.330999999999996,42.173,15.0,6.6,Mw,Kars
42,1943-06-20,1208,15:32:54,40.85,30.51,10.0,6.6,MS,Sakarya
49,1939-09-22,1113,00:36:37,39.07,26.94,10.0,6.6,MS,Izmir
19,1975-09-06,3867,09:20:12,38.5132,40.7741,31.9,6.6,MS,Diyarbakir
38,1949-07-23,1352,15:03:33,38.57,26.29,10.0,6.6,MS,Izmir
15,1992-03-13,6994,17:18:40,39.72,39.632,22.2,6.6,Mw,Erzincan
9,2002-02-03,9371,07:11:30,38.527,31.221,5.0,6.5,Mw,Erzurum
21,1969-03-28,2730,01:48:30,38.55,28.46,4.0,6.5,MS,Manisa
24,1968-09-03,2580,08:19:53,41.81,32.39,5.0,6.5,MS,Bartin
33,1956-02-20,1577,20:31:44,39.89,30.49,40.0,6.4,MS,Kozkayi Mahallesi
13,1995-10-01,7588,15:57:17,38.075,30.142,30.9,6.4,Mw,Erzurum
2,2017-07-20,0,22:31:12,36.974000000000004,27.523000000000003,7.8,6.3,Mw,Mugla
31,1961-05-23,1808,02:45:22,36.7,28.49,70.0,6.3,MS,Mugla
30,1963-09-18,1873,16:58:15,40.77,29.12,40.0,6.3,MS,Istanbul
7,2003-05-01,9674,00:27:05,39.01,40.46,10.0,6.3,Mw,Bingol
12,1998-06-27,8210,13:55:50,36.9358,35.3664,10.0,6.2,Mw,Adana
27,1966-08-20,2225,11:59:09,39.42,40.98,14.0,6.2,MS,Bingol
48,1940-07-30,1148,00:12:07,39.75,35.5,35.0,6.2,MS,Yozgat
23,1969-01-14,2679,23:12:06,36.11,29.19,22.0,6.2,MS,Erzurum
53,1935-01-04,1012,14:41:23,40.25,27.5,35.0,6.2,MS,Balikesir
56,1928-03-31,784,00:29:47,38.0,27.0,35.0,6.2,MS,Izmir
43,1942-11-15,1199,17:01:23,39.55,28.58,10.0,6.1,MS,Balikesir
57,1926-03-01,712,20:02:00,37.03,29.43,50.0,6.1,MS,Burdur
54,1929-05-18,847,06:37:54,40.2,37.9,10.0,6.1,MS,Sivas
55,1928-05-02,816,21:54:32,39.64,29.14,10.0,6.1,MS,Bursa
4,2012-06-10,12493,12:44:16,36.36,28.93,30.0,6.1,Mw,Mugla
6,2010-03-08,11716,02:32:00,38.77,40.07,5.0,6.1,Mw,Elazig
18,1983-07-05,5259,12:01:27,40.311,27.256,10.0,6.1,Mw,Canakkale
35,1953-09-07,1493,03:59:04,41.09,33.01,40.0,6.0,MS,Karabuk
11,2000-06-06,8902,02:41:51,40.734,33.005,7.0,6.0,Mw,Cankiri
14,1992-11-06,7113,19:08:09,38.048,27.004,9.8,6.0,Mw,Izmir
16,1986-05-05,5838,03:35:39,38.001,37.783,4.1,6.0,Mw,Malatya
8,2003-01-27,9618,05:26:25,39.496,39.841,15.1,6.0,Mw,Tunceli
52,1935-01-04,1015,16:20:00,40.25,27.5,35.0,6.0,MS,Balikesir
51,1935-05-01,1023,10:24:35,39.5,43.0,35.0,6.0,MS,Agri
22,1969-03-25,2717,13:21:34,39.25,28.44,37.0,6.0,MS,Balikesir
25,1967-07-26,2372,18:53:00,39.5,40.3,10.0,6.0,MS,Bingol
3,2013-12-28,0,15:21:03,36.048,31.331999999999997,43.6,6.0,ML,Erzurum
47,1941-05-23,1164,19:51:59,37.07,28.21,40.0,6.0,MS,Mugla
46,1941-09-10,1175,21:53:00,39.5,43.0,35.0,6.0,MS,Agri
45,1941-12-13,1182,06:16:05,37.0,28.0,100.0,6.0,MS,Mugla
44,1942-10-28,1197,02:22:53,39.1,27.8,50.0,6.0,MS,Manisa
1,2019-08-08,0,11:25:30,37.851,29.584,10.92,6.0,Mw,Denizli
5,2011-10-23,12129,20:45:34,38.6447,43.1275,6.79,6.0,Mw,Van
41,1944-06-25,1234,04:16:26,38.79,29.31,40.0,6.0,MS,Usak
10,2000-12-15,9018,16:44:44,38.6081,31.1972,5.0,6.0,Mw,Erzurum
39,1945-03-20,1250,07:58:57,37.11,35.7,60.0,6.0,MS,Adana
29,1964-06-14,1930,12:15:31,38.13,38.51,3.0,6.0,MS,Adiyaman
