,date,latitude,longitude,depth,magnitude,type,place,year
0,2020-01-22,39.0488,27.8443,10.35,5.4,Mw,Manisa,2020
1,2020-01-24,38.3593,39.063,8.06,6.8,Mw,Elazig,2020
2,2020-01-25,38.374,39.131,16.4,5.1,Mw,Elazig,2020
3,2019-02-20,39.6011,26.4261,5.8,5.0,Mw,Canakkale,2019
4,2019-04-04,38.3865,39.1205,8.92,5.2,Mw,Elazig,2019
5,2019-10-03,36.3133,28.4983,18.74,5.0,Mw,Balikesir,2019
6,2019-09-26,40.8818,28.214,7.97,5.8,Mw,Istanbul,2019
7,2019-03-20,37.4401,29.4335,10.76,5.5,Mw,Denizli,2019
8,2019-08-08,37.851,29.584,10.92,6.0,Mw,Denizli,2019
9,2018-04-24,37.5836,38.5036,9.79,5.1,Mw,Adiyaman,2018
10,2018-09-12,36.0535,31.2135,36.68,5.2,Mw,Balikesir,2018
11,2017-02-07,39.5205,26.151,6.24,5.2,Mw,Canakkale,2017
12,2017-07-21,36.941,27.332,37.5,5.0,Mw,Mugla,2017
13,2017-04-13,37.1533,28.647,11.33,5.0,Mw,Mugla,2017
14,2017-02-10,39.5236,26.1946,7.01,5.0,ML,Canakkale,2017
15,2017-07-20,36.974,27.523000000000003,7.8,6.3,Mw,Mugla,2017
16,2017-05-27,38.7358,27.8156,11.03,5.1,Mw,Manisa,2017
17,2017-02-06,39.5495,26.137,14.16,5.3,Mw,Canakkale,2017
18,2017-02-06,39.5303,26.1351,8.72,5.3,Mw,Canakkale,2017
19,2017-11-22,37.1206,28.5921,24.75,5.0,Mw,Mugla,2017
20,2017-02-12,39.5336,26.17,7.0,5.3,Mw,Canakkale,2017
21,2017-11-24,37.1146,28.6045,24.46,5.1,Mw,Mugla,2017
22,2017-08-08,36.9576,27.6236,11.03,5.1,Mw,Mugla,2017
23,2017-03-02,37.5955,38.4866,9.76,5.5,Mw,Adiyaman,2017
24,2016-01-10,39.564,34.358000000000004,13.6,5.0,Mw,Kirsehir,2016
25,2015-12-02,39.261,40.217,10.66,5.3,Mw,Bingol,2015
26,2015-10-06,36.1846,29.8853,34.23,5.2,Mw,Balikesir,2015
27,2015-11-29,38.8401,37.837,22.41,5.0,Mw,Malatya,2015
28,2015-07-29,36.5646,35.0361,29.68,5.0,Mw,Adana,2015
29,2014-05-24,40.3951,26.3058,6.98,5.3,Mw,Canakkale,2014
30,2014-09-04,36.172,30.9301,41.03,5.2,Mw,Balikesir,2014
31,2013-12-08,36.692,31.257,65.0,5.0,Mw,Balikesir,2013
32,2013-12-28,36.048,31.332,43.6,6.0,ML,Erzurum,2013
33,2012-03-26,39.23,42.28,17.0,5.2,Mw,Mus,2012
34,2012-06-07,40.854,27.9235,14.9,5.0,Mw,Tekirdag,2012
35,2012-06-14,37.1572,42.4437,11.68,5.2,Mw,Sirnak,2012
36,2012-05-03,39.1245,29.11,10.59,5.2,Mw,Kutahya,2012
37,2012-08-05,37.4635,42.9798,12.94,5.1,Mw,Sirnak,2012
38,2012-06-10,36.36,28.93,30.0,6.1,Mw,Mugla,2012
39,2012-09-19,37.2838,37.1398,22.35,5.0,Mw,Kahramanmaras,2012
40,2012-06-25,36.4422,28.9422,27.0,5.0,Mw,Mugla,2012
41,2012-06-10,36.4762,28.9295,26.85,5.0,Ml,Mugla,2012
42,2011-10-23,38.629,43.192,19.81,5.1,Mw,Van,2011
43,2011-10-23,38.7778,43.3947,22.61,5.5,Mw,Van,2011
44,2011-09-22,39.6597,38.6777,7.18,5.6,Mw,Erzincan,2011
45,2011-10-29,38.9245,43.5438,16.67,5.1,Mw,Van,2011
46,2011-10-27,37.3807,43.8343,21.61,5.1,Mw,Hakkari,2011
47,2011-10-25,38.823,43.5857,17.44,5.6,Mw,Van,2011
48,2011-05-19,39.1328,29.082,24.46,5.9,Mw,Kutahya,2011
49,2011-07-25,40.8195,27.7498,6.97,5.1,Mw,Tekirdag,2011
50,2011-11-30,38.47,43.2905,19.79,5.4,Mw,Van,2011
51,2011-05-28,39.1215,29.0408,23.02,5.1,Mw,Kutahya,2011
52,2011-06-23,38.5562,39.6307,13.42,5.4,Mw,Elazig,2011
53,2011-11-08,38.7192,43.0778,8.36,5.3,Mw,Van,2011
54,2011-10-23,38.7335,43.1312,7.48,5.3,Ml,Van,2011
55,2011-06-27,39.12,29.02,9.0,5.0,Mw,Kutahya,2011
56,2011-11-14,38.7038,43.0833,23.32,5.2,Mw,Van,2011
57,2011-10-23,38.689,43.4657,19.02,7.1,Mw,Van,2011
58,2011-10-24,38.69300000000001,43.1475,18.71,5.0,Mw,Van,2011
59,2011-10-23,38.7825,43.3633,19.92,5.8,Ml,Van,2011
60,2011-11-09,38.4382,43.2825,21.47,5.7,Mw,Van,2011
61,2011-10-23,38.6447,43.1275,6.79,6.0,Mw,Van,2011
62,2010-03-08,38.77,40.07,5.0,6.1,Mw,Elazig,2010
63,2010-03-24,38.7713,40.0935,22.57,5.1,Mw,Elazig,2010
64,2010-03-08,39.7957,40.0477,4.91,5.0,Ml,Erzincan,2010
65,2010-11-03,40.425,26.2214,10.0,5.3,Mw,Canakkale,2010
66,2010-03-08,38.7452,40.0342,11.75,5.1,Mw,Elazig,2010
67,2010-11-11,37.8579,27.3856,15.0,5.0,Mw,Aydin,2010
68,2010-03-08,38.7518,40.0418,15.15,5.6,Mw,Elazig,2010
69,2009-02-17,39.1488,29.0448,7.0,5.2,Mw,Kutahya,2009
70,2009-07-30,39.5854,39.7483,13.7,5.0,Mw,Erzincan,2009
71,2008-04-25,37.804,29.32,12.3,5.0,Mw,Denizli,2008
72,2008-11-12,38.834,35.536,10.0,5.1,Mw,Kayseri,2008
73,2008-09-03,37.445,38.58,5.2,5.0,Mw,Sanliurfa,2008
74,2007-02-21,38.36,39.3,6.0,5.7,Mw,Elazig,2007
75,2007-01-21,39.566,42.864,12.0,5.1,Mw,Agri,2007
76,2007-11-16,36.909,29.383000000000006,20.0,5.1,Mw,Burdur,2007
77,2007-12-20,39.411,33.156,13.2,5.7,Mw,Ankara,2007
78,2007-04-10,37.905,30.955,27.9,5.1,Mw,Isparta,2007
79,2007-10-29,36.908,29.342,20.0,5.3,Mw,Burdur,2007
80,2007-02-09,38.322,39.101,9.7,5.5,Mw,Malatya,2007
81,2007-08-25,39.24800000000001,41.122,12.5,5.3,Mw,Bingol,2007
82,2007-12-26,39.424,33.11,14.6,5.6,Mw,Ankara,2007
83,2006-10-24,40.44300000000001,29.079,15.5,5.0,Mw,Bursa,2006
84,2006-07-02,39.319,40.915,15.0,5.0,Mw,Bingol,2006
85,2005-10-17,38.152,26.731,17.8,5.2,Mw,Izmir,2005
86,2005-03-14,39.3872,40.988,10.0,5.8,Mw,Bingol,2005
87,2005-10-17,38.1336,26.6723,17.9,5.5,Mw,Izmir,2005
88,2005-10-20,38.15,26.67,15.0,5.8,Mw,Izmir,2005
89,2005-07-30,39.38800000000001,33.114000000000004,15.5,5.2,Mw,Ankara,2005
90,2005-03-12,39.356,40.952,19.6,5.6,Mw,Bingol,2005
91,2005-01-25,37.66,43.707,15.3,5.8,Mw,Hakkari,2005
92,2005-01-11,36.912,27.845,34.0,5.0,Mw,Mugla,2005
93,2005-12-10,39.362,40.926,15.9,5.4,Mw,Bingol,2005
94,2005-03-23,39.399,40.871,17.1,5.6,Mw,Bingol,2005
95,2005-01-10,36.867,27.888,32.1,5.4,Mw,Mugla,2005
96,2005-06-06,39.3445,41.0278,13.8,5.6,Mw,Bingol,2005
97,2005-11-26,38.212,38.859,23.0,5.1,Mw,Malatya,2005
98,2005-10-17,38.172,26.728,7.3,5.8,Mw,Izmir,2005
99,2004-12-20,36.95,28.345,28.3,5.3,Mw,Mugla,2004
100,2004-08-04,36.8603,27.7535,10.0,5.5,Mw,Mugla,2004
101,2004-08-11,38.37,39.22,10.0,5.6,Mw,Elazig,2004
102,2004-03-25,39.867,40.864,20.0,5.6,Mw,Erzurum,2004
103,2004-03-28,39.93,40.83,10.0,5.6,Mw,Erzurum,2004
104,2004-08-04,36.886,27.78,24.2,5.3,Mw,Mugla,2004
105,2004-07-01,39.7808,43.9648,21.0,5.1,Mw,Igdir,2004
106,2004-08-04,36.877,27.802,12.0,5.2,Mw,Mugla,2004
107,2004-08-03,36.88800000000001,27.777,22.8,5.2,Mw,Mugla,2004
108,2003-07-26,38.051,28.902,22.3,5.4,Mw,Denizli,2003
109,2003-04-10,38.226,26.918000000000006,14.1,5.7,Mw,Izmir,2003
110,2003-01-27,39.496,39.841,15.1,6.0,Mw,Tunceli,2003
111,2003-07-23,38.065,28.886,15.0,5.3,Mw,Denizli,2003
112,2003-05-03,36.897,31.516,128.7,5.4,Mw,Antalya,2003
113,2003-07-06,40.44300000000001,26.039,15.0,5.2,Mw,Edirne,2003
114,2003-07-06,40.445,26.074,15.0,5.7,Mw,Edirne,2003
115,2003-04-17,38.181,26.959,15.0,5.2,Mw,Izmir,2003
116,2003-05-01,39.01,40.46,10.0,6.3,Mw,Bingol,2003
117,2003-07-13,38.3222,39.0356,10.0,5.5,Mw,Malatya,2003
118,2002-02-03,38.667,30.919,11.0,5.8,Mw,Balikesir,2002
119,2002-02-03,38.721,30.886,35.0,5.1,mb,Balikesir,2002
120,2002-02-03,38.562,31.083,31.0,5.3,Mw,Balikesir,2002
121,2002-02-03,38.527,31.221,5.0,6.5,Mw,Erzurum,2002
122,2001-07-10,39.81800000000001,41.629,35.0,5.4,Mw,Erzurum,2001
123,2001-06-25,37.182,36.213,13.6,5.4,Mw,Osmaniye,2001
